locus_id,locus_name,locus_type,token,building,floor,zone,scale,dwell_category,sward_ids,sward_count,function,hazard_level,hazard_grade,tags,description,congestion_prone,sector_id,gateway_no,gateway_name,building_no,floor_no,location_x,location_y,locus_version
GW-340,fab_2F_X29Y07_호이스트,WORK_AREA,work_area,FAB,2F,,POINT,SHORT_STAY,GW-340,1,WORK,medium,2.0,,,False,Y1_SKHynix,340,fab_2F_X29Y07_호이스트,2.0,20.0,330.0,66.0,v2
GW-323,fab_2F_X25Y03,WORK_AREA,work_area,FAB,2F,,POINT,SHORT_STAY,GW-323,1,WORK,medium,2.0,,,False,Y1_SKHynix,323,fab_2F_X25Y03,2.0,20.0,287.0,23.0,v2
GW-321,fab_2F_X27Y16,WORK_AREA,work_area,FAB,2F,,POINT,SHORT_STAY,GW-321,1,WORK,medium,2.0,,,False,Y1_SKHynix,321,fab_2F_X27Y16,2.0,20.0,310.0,181.0,v2
GW-343,fab_5F_X11Y12,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-343,1,WORK,medium,2.0,,,False,Y1_SKHynix,343,fab_5F_X11Y12,2.0,22.0,121.0,141.0,v2
GW-361,fab_4F_ X29Y09_클라이머,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-361,1,WORK,medium,2.0,,,False,Y1_SKHynix,361,fab_4F_ X29Y09_클라이머,2.0,7.0,330.0,97.0,v2
GW-320,fab_5F_X27Y12,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-320,1,WORK,medium,2.0,,,False,Y1_SKHynix,320,fab_5F_X27Y12,2.0,22.0,311.0,141.0,v2
GW-191,fab_1F_X15Y12,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-191,1,WORK,medium,2.0,,,False,Y1_SKHynix,191,fab_1F_X15Y12,2.0,4.0,169.0,140.0,v2
GW-187,fab_1F_X24Y12,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-187,1,WORK,medium,2.0,,,False,Y1_SKHynix,187,fab_1F_X24Y12,2.0,4.0,274.0,141.0,v2
GW-336,fab_6F_X10Y15,WORK_AREA,work_area,FAB,6F,,POINT,SHORT_STAY,GW-336,1,WORK,medium,2.0,,,False,Y1_SKHynix,336,fab_6F_X10Y15,2.0,23.0,108.0,172.0,v2
GW-234,fab_1F_X08Y09_휴게실_F02_1층1번,REST_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-234,1,REST,medium,2.0,,,False,Y1_SKHynix,234,fab_1F_X08Y09_휴게실_F02_1층1번,2.0,4.0,79.0,95.0,v2
GW-299,fab_4F_X26Y10,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-299,1,WORK,medium,2.0,,,False,Y1_SKHynix,299,fab_4F_X26Y10,2.0,7.0,311.0,112.0,v2
GW-286,fab_1F_X10Y09,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-286,1,WORK,medium,2.0,,,False,Y1_SKHynix,286,fab_1F_X10Y09,2.0,4.0,110.0,96.0,v2
GW-292,fab_1F_X03Y12,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-292,1,WORK,medium,2.0,,,False,Y1_SKHynix,292,fab_1F_X03Y12,2.0,4.0,27.0,139.0,v2
